


28/04/2023,25351.265518/2023-32,0430141/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
29/04/2023,25351.267311/2023-01,0433225/23-8,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
02/05/2023,25351.268546/2023-10,0435091/23-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
02/05/2023,25351.270442/2023-67,0437885/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
02/05/2023,25351.270853/2023-52,0438888/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
03/05/2023,25351.271800/2023-59,0440628/23-7,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
04/05/2023,25351.273425/2023-81,0444190/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
05/05/2023,25351.281650/2023-91,0454744/23-4,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
09/05/2023,25351.289158/2023-64,0466257/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
11/05/2023,25351.294448/2023-20,0474750/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
11/05/2023,25351.296425/2023-50,0477536/23-9,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
13/05/2023,25351.301199/2023-36,0485003/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
15/05/2023,25351.302018/2023-99,0486318/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/05/2023,25351.308822/2023-81,0497531/23-2,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
17/05/2023,25351.309086/2023-89,0498159/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
18/05/2023,25351.312251/2023-80,0503377/23-6,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/05/2023,25351.314351/2023-41,0506845/23-1,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
19/05/2023,25351.314353/2023-30,0506848/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
24/05/2023,25351.325427/2023-63,0525083/23-5,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
25/05/2023,25351.330753/2023-92,0533503/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
30/05/2023,25351.337677/2023-46,0545827/23-0,11637,CADIFA - Solicitação de CADIFA Associada | Associated CADIFA Application
